epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,551.698,1.14091,3.88865,1.44681,0.30036,0.07098,0.08541,0.06186,0.94814,3.69533,1.20029,0.0672839,0.000498214,0.000498214
2,1108.11,1.09825,3.39861,1.3901,0.42531,0.35458,0.29009,0.20888,1.04167,2.9306,1.24716,0.0344286,0.000976254,0.000976254
3,1799.81,1.13117,2.87391,1.40525,0.53633,0.44715,0.44045,0.31113,1.08989,2.49072,1.29177,0.00155134,0.00143229,0.00143229
4,2374.81,1.14168,2.60373,1.41242,0.53974,0.53564,0.54567,0.37676,1.13254,2.25226,1.29339,0.001401,0.001401,0.001401
5,2858.39,1.14162,2.40221,1.39957,0.57115,0.56219,0.60646,0.4226,1.14198,2.06007,1.31447,0.001368,0.001368,0.001368
6,3360.81,1.12695,2.31913,1.39297,0.55524,0.64837,0.64716,0.44314,1.096,1.97602,1.26619,0.001335,0.001335,0.001335
7,3858.87,1.10703,2.19454,1.37712,0.6747,0.6414,0.67826,0.47252,1.10222,1.89932,1.27259,0.001302,0.001302,0.001302
8,4343.31,1.10107,2.08923,1.36501,0.671,0.63883,0.7043,0.49396,1.09164,1.75993,1.26034,0.001269,0.001269,0.001269
9,4892.99,1.08894,2.05633,1.36182,0.67756,0.69763,0.73421,0.53365,1.04167,1.71153,1.23656,0.001236,0.001236,0.001236
10,5568.87,1.07586,1.97745,1.35394,0.73375,0.68934,0.74007,0.53845,1.00206,1.62873,1.21394,0.001203,0.001203,0.001203
11,6209.68,1.06111,1.95102,1.33881,0.73629,0.70315,0.77207,0.57146,0.98594,1.62315,1.20682,0.00117,0.00117,0.00117
12,6659.19,1.04886,1.895,1.32756,0.78457,0.67517,0.78567,0.58876,0.93775,1.52711,1.17808,0.001137,0.001137,0.001137
13,7213.65,1.05316,1.87342,1.3337,0.75717,0.7137,0.78361,0.58528,0.96067,1.53532,1.19087,0.001104,0.001104,0.001104
14,7674.94,1.05159,1.84004,1.32826,0.76488,0.71532,0.77755,0.58597,0.93266,1.53304,1.16144,0.001071,0.001071,0.001071
15,8136,1.0467,1.79629,1.32508,0.73191,0.72784,0.7799,0.59339,0.94229,1.4775,1.17875,0.001038,0.001038,0.001038
16,8645.13,1.02344,1.77235,1.30906,0.80536,0.68205,0.79484,0.61382,0.87867,1.42791,1.14828,0.001005,0.001005,0.001005
17,9183.24,1.02005,1.74686,1.31144,0.75449,0.73485,0.81126,0.62034,0.93272,1.40714,1.1657,0.000972,0.000972,0.000972
18,9725.89,1.02765,1.72625,1.31345,0.7144,0.7879,0.8188,0.62882,0.88679,1.33773,1.14629,0.000939,0.000939,0.000939
19,10294.8,1.02117,1.71764,1.306,0.74439,0.78576,0.83603,0.64926,0.8346,1.30666,1.11983,0.000906,0.000906,0.000906
20,10894.8,1.00616,1.68074,1.29902,0.79139,0.75421,0.82259,0.63754,0.84801,1.30734,1.12932,0.000873,0.000873,0.000873
21,11518.5,1.00605,1.6485,1.29342,0.75455,0.81017,0.82602,0.64727,0.83536,1.28861,1.11381,0.00084,0.00084,0.00084
22,12143.5,0.99311,1.62007,1.2896,0.73481,0.77027,0.80894,0.63169,0.85296,1.31592,1.13114,0.000807,0.000807,0.000807
23,12745.8,1.00043,1.59999,1.28629,0.77257,0.75703,0.83532,0.66161,0.82339,1.2455,1.10992,0.000774,0.000774,0.000774
24,13366.8,1.00085,1.62188,1.29277,0.81574,0.77099,0.83094,0.64054,0.88738,1.24097,1.13387,0.000741,0.000741,0.000741
25,13957.7,1.00111,1.60885,1.30072,0.81508,0.76066,0.84938,0.66489,0.84475,1.19826,1.12599,0.000708,0.000708,0.000708
26,14549.2,0.99038,1.58279,1.28517,0.81784,0.77169,0.85053,0.67145,0.81743,1.19634,1.1059,0.000675,0.000675,0.000675
27,15135.4,0.98254,1.54719,1.27879,0.78723,0.80504,0.86055,0.68334,0.82506,1.16741,1.11108,0.000642,0.000642,0.000642
28,15716,0.96938,1.52252,1.26774,0.81333,0.81193,0.85264,0.67607,0.80903,1.16936,1.10189,0.000609,0.000609,0.000609
29,16174,0.95541,1.50886,1.26981,0.81229,0.75693,0.85222,0.68217,0.78512,1.17342,1.09309,0.000576,0.000576,0.000576
30,16630.1,0.95694,1.49754,1.26668,0.75663,0.79781,0.84165,0.67339,0.79475,1.17598,1.09389,0.000543,0.000543,0.000543
31,19379.2,0.96129,1.48721,1.26723,0.72563,0.82317,0.85066,0.68316,0.7888,1.14219,1.09018,0.00051,0.00051,0.00051
32,19865.9,0.97416,1.49959,1.27382,0.75096,0.81482,0.83944,0.67279,0.77961,1.15146,1.08538,0.000477,0.000477,0.000477
33,20368.4,0.96006,1.4753,1.26247,0.75033,0.80401,0.84077,0.67702,0.7718,1.14483,1.0819,0.000444,0.000444,0.000444
34,20879.5,0.95758,1.44478,1.25594,0.77741,0.82496,0.86241,0.6876,0.78253,1.13128,1.08651,0.000411,0.000411,0.000411
35,21378,0.94013,1.43255,1.24649,0.80198,0.8189,0.86295,0.69859,0.75624,1.10108,1.07823,0.000378,0.000378,0.000378
36,21865.9,0.74695,1.30297,1.13968,0.82231,0.7621,0.83796,0.66667,0.78418,1.19252,1.09356,0.000345,0.000345,0.000345
37,22407.3,0.72914,1.22845,1.13197,0.84812,0.75723,0.85232,0.68185,0.78281,1.17643,1.08777,0.000312,0.000312,0.000312
38,22852,0.73287,1.20041,1.13091,0.76971,0.8188,0.85116,0.68821,0.7484,1.15633,1.06942,0.000279,0.000279,0.000279
39,23327,0.72548,1.17865,1.12989,0.81843,0.77404,0.84834,0.68237,0.75195,1.15457,1.07283,0.000246,0.000246,0.000246
40,23825,0.72287,1.15685,1.12188,0.79858,0.82932,0.85422,0.68893,0.7657,1.12957,1.07452,0.000213,0.000213,0.000213
41,24259.2,0.71465,1.1375,1.11557,0.78438,0.81189,0.84816,0.681,0.75187,1.1266,1.06624,0.00018,0.00018,0.00018
42,24700,0.70807,1.11758,1.11205,0.79171,0.81389,0.85671,0.68854,0.75746,1.11527,1.07208,0.000147,0.000147,0.000147
43,25141,0.69937,1.10207,1.10704,0.81722,0.78349,0.85618,0.69237,0.74765,1.10767,1.06606,0.000114,0.000114,0.000114
44,25562.3,0.69491,1.08983,1.10545,0.78524,0.79567,0.84883,0.68553,0.73088,1.10532,1.05801,8.1e-05,8.1e-05,8.1e-05
45,25977.8,0.69788,1.09418,1.10338,0.79747,0.80516,0.84788,0.68791,0.73811,1.09492,1.05948,4.8e-05,4.8e-05,4.8e-05
